YFL045C YGL195W 0.499635
YNL002C YLR029C 0.511865
YNL002C YDR087C 0.528607
YNL002C YDR060W 0.860799
YNL002C YLR002C 0.897012
YNL002C YLL008W 0.99
YNL002C YLR276C 0.850379
YNL002C YER006W 0.99
YNL002C YMR242C 0.566898
YNL002C YPL249C-A 0.522354
YNL002C YIL018W 0.507565
YNL002C YLR106C 0.551217
YNL002C YDL031W 0.988033
YNL002C YGR103W 0.99
YNL002C YGL135W 0.577385
YNL002C YMR290C 0.99
YNL002C YBR142W 0.578714
YNL002C YHR088W 0.934478
YNL002C YPL093W 0.989784
YNL002C YOR272W 0.99
YNL002C YCL054W 0.681422
YNL002C YNR053C 0.539459
YNL002C YFL002C 0.928786
YNL002C YKL172W 0.552306
YNL002C YFR001W 0.482575
YNL002C YPL131W 0.525213
YNL002C YOR206W 0.99
YNL002C YHR052W 0.988003
YNL002C YDR101C 0.817405
YNL002C YHR197W 0.946971
YNL002C YPL211W 0.897012
YNL002C YKL009W 0.897321
YNL002C YNL110C 0.977699
YNL002C YGL111W 0.99
YNL002C YOL077C 0.99
YNL002C YGL030W 0.60235
YNL002C YOL127W 0.892841
YNL002C YMR049C 0.99
YNL002C YPL043W 0.897202
YNL002C YNL182C 0.854367
YNL002C YPR016C 0.902957
YNL002C YLL045C 0.578164
YNL002C YGR245C 0.897012
YNL002C YML073C 0.483999
YNL002C YNL061W 0.98149
YNL002C YOL041C 0.539515
YNL002C YKR081C 0.642566
YNL002C YDL075W 0.576949
YNL002C YER126C 0.825015
YNL002C YDR496C 0.897824
YNL002C YOR063W 0.892996
YNL002C YLL034C 0.743921
YMR227C YLR055C 0.495295
YMR227C YDR145W 0.99
YMR227C YPL254W 0.566898
YMR227C YBR081C 0.606384
YMR227C YDR176W 0.606419
YMR227C YML015C 0.9698
YMR227C YPL011C 0.99
YMR227C YGR274C 0.99
YMR227C YMR236W 0.979794
YMR227C YBR198C 0.99
YMR227C YGR252W 0.507907
YMR227C YMR005W 0.892462
YMR227C YGL112C 0.99
YMR227C YDR167W 0.897012
YLR429W YGR086C 0.494787
YLR429W YFL039C 0.906294
YLR429W YCR009C 0.689179
YLR429W YGL106W 0.879299
YLR429W YKL007W 0.79428
YLR429W YPR171W 0.518573
YLR429W YNL106C 0.49887
YLR429W YCR088W 0.610938
YLR429W YBR109C 0.881656
YLR429W YMR109W 0.498338
YLR429W YDR129C 0.546461
YHL015W YCR031C 0.61077
YHL015W YGL103W 0.577601
YHL015W YMR242C 0.491846
YHL015W YOL040C 0.526075
YHL015W YDR064W 0.677518
YHL015W YDR471W 0.498959
YHL015W YKL180W 0.608886
YHL015W YDL083C 0.554155
YHL015W YGL147C 0.496935
YHL015W YBL072C 0.544749
YHL015W YNL178W 0.630829
YHL015W YMR230W 0.485459
YHL015W YLR340W 0.496471
YHL015W YJR123W 0.889931
YHL015W YML073C 0.516163
YHL015W YGR085C 0.546585
YHL015W YJL190C 0.566898
